kinetic energy,energytotal
20.571025085836617,-25.27746546122894
20.551618445720095,-25.278371791714065
20.5684138690073,-25.289525502066724
20.5423690969425,-25.287831100364848
20.546088467682026,-25.28823265002748
20.49702390248497,-25.291857008940738
20.458733349832993,-25.291248994346468
20.434853890651645,-25.2970510873293
20.469822404101837,-25.29699271272997
20.461059097410974,-25.301657441317094
20.493541634723123,-25.298199953801884
20.482277326358158,-25.297164751743203
20.453684706438636,-25.293207040371662
20.457124264684435,-25.298031006323466
20.435245488119556,-25.306581495809375
20.428896728592786,-25.304659517548444
20.501185434217035,-25.301621717021604
20.537299007643774,-25.300585968133507
20.47453568783284,-25.296730705575776
20.51410394090668,-25.30450990587511
20.519328792838973,-25.304559739043977
20.51477224434992,-25.30893067746741
20.499056654189175,-25.309386966323274
20.48374340192841,-25.303925487539292
20.466424679953853,-25.30472239838967
20.49162957840238,-25.30325852446875
20.451845890871468,-25.29686740325757
20.479544997166734,-25.301205452588757
20.516186561047178,-25.302380182493142
20.51042080130894,-25.306903828071775
20.550870971358194,-25.306482402612875
20.5391311953364,-25.301309807458537
20.582818087007368,-25.300633977130122
20.58181061803273,-25.291951272343425
20.53374764885067,-25.301616267215977
20.55352430650444,-25.30180275928945
20.54435905826392,-25.31087900169409
20.570626894768786,-25.30794825656246
20.52553380044763,-25.305833114881658
20.545220761305185,-25.308541101999946
20.524604673996826,-25.30577821511298
20.564421902242017,-25.299680460802307
20.602018186935545,-25.304425291002488
20.62385648658568,-25.301423797189457
20.63283737742278,-25.305060277328415
20.672289790710163,-25.306374163854
20.667472883046692,-25.307274143649295
20.676047919199146,-25.310043071212895
20.64435522907673,-25.31111035431545
20.67568272767963,-25.306564282057096
20.65202686520626,-25.30068870286439
20.662668198538277,-25.304781922548962
20.652762643978004,-25.301543899875252
20.667052786461955,-25.308676517631753
20.684969237564424,-25.305707980259964
20.705368256480117,-25.31035340031203
20.706305918678993,-25.312237512880678
20.73187036764094,-25.312326233449937
20.742620692275914,-25.30534628518032
20.711280605337038,-25.306242218048766
20.668654978621497,-25.308749043520436
20.70678295103582,-25.311646110546647
20.745960544054427,-25.313872605163528
20.71179597963481,-25.30726649171433
20.692236762014602,-25.310436508780263
20.720320449167474,-25.30851090608604
20.73475334665396,-25.310338495760725
20.69589003334532,-25.31461378788618
20.69460188791245,-25.31290423715307
20.62333144260497,-25.317591351990213
20.63946521246249,-25.326142564972084
20.617167460646495,-25.317656820928537
20.63213588303141,-25.315193401912783
20.631069426668667,-25.32015839746272
20.591839382149658,-25.316112505058697
20.629920688094234,-25.318043828395123
20.64879833838822,-25.31664038285553
20.695277484710683,-25.31960241742964
20.704260074935842,-25.320645753033183
20.67059808812653,-25.32350890334412
20.65707995266341,-25.327860034915467
20.739105635174198,-25.325903386853
20.717225045533738,-25.327417564289554
20.682639324101032,-25.326592485981962
20.701415240263927,-25.329926130376066
20.67191845901938,-25.33222052976952
20.63468338466501,-25.334682333317133
20.638096283687094,-25.334795303431058
20.67461932981931,-25.331218347605756
20.688930951857756,-25.326617697478603
20.679440890028367,-25.327690311960275
20.652244102109822,-25.32499290241757
20.682059246548533,-25.325413033500496
20.638062059682852,-25.323568447659117
20.671621867492142,-25.321889357740517
20.584951026148858,-25.327950031377483
20.610310289919283,-25.327566575219347
20.60372604656812,-25.32592623236851
20.56212982979737,-25.33090240315864
20.525941840989738,-25.32788644722196
20.57528589427898,-25.32792210117707
20.632479144815512,-25.328960919351463
20.63241181782648,-25.323850102979506
20.656625866122383,-25.327935419950887
20.65583335341413,-25.32426689136497
20.726099563155284,-25.32216121918251
20.712611810358737,-25.322597867813535
20.717055522894437,-25.32530164381287
20.673914095162665,-25.322604363731294
20.698870073878794,-25.3270755012439
20.698363511492595,-25.32288902915864
20.65407744905509,-25.31532753495544
20.667449618750762,-25.31419015582709
20.64618301795616,-25.316988550746018
20.666216212188115,-25.31958288062748
20.66912289608547,-25.318454054341256
20.65494407738122,-25.318605486658306
20.6742328917907,-25.319828429982564
20.701253530348247,-25.320278982783414
20.640349922045125,-25.32440886178723
20.644021291177364,-25.32295633963635
20.657544550159916,-25.325951264435624
20.709372515434445,-25.321099591898186
20.743254957627816,-25.31495912963745
20.672362195915838,-25.31569755659057
20.665444442967768,-25.317564526380473
20.663779869868385,-25.318635633500733
20.681766623436687,-25.323335608871368
20.72132020663981,-25.317575501005592
20.72552686722145,-25.316877296198193
20.67807208944941,-25.316745582138896
20.676679553699614,-25.319181568115773
20.65999178810604,-25.315818753244884
20.636480598084322,-25.31191556018996
20.60453671250731,-25.30617536467348
20.60780671721195,-25.302831623818822
20.53730848071711,-25.31111854213368
20.55436032863906,-25.316384464146942
20.587373173653436,-25.318379518499253
20.56112258750548,-25.31312248703817
20.60754188811303,-25.311421265847812
20.588577184162176,-25.31023399868962
20.54549615341139,-25.307870877729513
20.56768380630725,-25.31522332276368
20.577019795486137,-25.310331679439273
20.609440393691806,-25.305499503957627
20.621772565607543,-25.312978423300834
20.611187074564885,-25.317269447605433
20.5727830765199,-25.32018244815792
20.582866049898186,-25.319028086604597
20.6150771516107,-25.321816700376655
20.697536468357615,-25.31723362682586
20.67663725410512,-25.318991869896387
20.684444615427257,-25.316928432654844
