r,energy
1.1,-5.7076988335251615
1.2000000000000002,-5.740559041685505
1.3,-5.762528282527965
1.4000000000000001,-5.777135658103269
1.5,-5.786796932254765
1.6,-5.793153160872667
1.7000000000000002,-5.797312831226633
1.8000000000000003,-5.800020475512688
1.9000000000000001,-5.801773480846229
2.0,-5.802902430856869
2.1,-5.803625698034417
2.2,-5.804086462890979
2.3000000000000003,-5.804377969023444
2.4000000000000004,-5.804560710726743
2.5,-5.804673913355461
2.6,-5.804743007258374
2.7,-5.80478441936204
2.8000000000000003,-5.804808664540351
2.9000000000000004,-5.804822385032451
3.0,-5.8048297205139665
3.1,-5.804833222908121
3.2,-5.804834471290774
3.3000000000000003,-5.804834427375733
3.4000000000000004,-5.8048336850889495
3.5000000000000004,-5.80483260686142
3.6,-5.804831409618478
3.7,-5.804830218557542
3.8000000000000003,-5.804829101489432
3.9000000000000004,-5.80482809095697
4.0,-5.804827198404972
4.1,-5.804826423103767
4.2,-5.804825757651593
4.300000000000001,-5.8048251913202265
4.4,-5.804824712086725
4.5,-5.804824307872094
4.6,-5.80482396728693
4.7,-5.80482368005142
4.800000000000001,-5.804823437189033
4.9,-5.80482323106161
5.0,-5.804823055299021
5.1,-5.804822904666581
5.200000000000001,-5.804822774904531
5.300000000000001,-5.804822662563918
5.4,-5.804822564854516
5.5,-5.8048224795126915
5.6,-5.804822404691816
5.700000000000001,-5.804822338874475
5.800000000000001,-5.804822280803595
5.9,-5.804822229429197
6.0,-5.804822183867509
